Comment 1,Ref. Fe3+/Fet,Reference,Label,Host rock/origin,Methods,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,FeOtot,MnO,MgO,CaO,Na2O,K2O,F,Cl,NiO,ZnO,Li2O
,,,,,,42.1309,2.06051,12.5816,0.064109,,10.6919,,0.275713,14.2733,11.6498,2.3219,0.565539,0.152036,0.034492,0.002209,,
,,,,,,41.8917,2.13826,12.6257,0.092964,,11.0569,,0.292381,14.1999,11.2427,2.36766,0.585453,0.152836,0.052879,-0.00459,,
,,,,,,41.7838,2.10982,12.6657,0.061515,,10.9486,,0.262676,14.0344,11.3817,2.44988,0.48299,0.118994,0.031558,-0.0042,,
,,,,,,41.4459,2.38396,12.8044,-0.00805,,11.8669,,0.316319,13.4129,11.4994,2.40151,0.49666,0.08283,0.041735,0.002145,,
,,,,,,47.6383,1.76987,7.00512,0.007207,,11.1308,,0.403253,15.9968,11.1935,1.80923,0.290558,0.115333,0.017999,0.002579,,
,,,,,,43.3006,1.74586,11.1536,0.089923,,10.4956,,0.196559,14.8856,11.4077,2.48084,0.451788,0.42298,0.015279,0.009091,,
,,,,,,41.7399,3.20009,10.9902,0.043595,,12.7267,,0.206732,13.2674,11.5585,2.54206,0.718758,0.288421,0.067318,0.029709,,
,,,,,,42.4483,3.13973,10.1457,0.054652,,13.1746,,0.211039,13.2781,11.4493,2.50085,0.746275,0.278613,0.115466,0.001027,,
,,,,,,42.4083,3.25936,10.8445,0.030861,,12.4183,,0.251146,13.6022,11.3953,2.63829,0.476237,0.294329,0.041853,0.012137,,
,,,,,,41.8608,3.28299,10.6248,0.032718,,13.16,,0.207722,13.1267,11.3354,2.70812,0.664433,0.260003,0.062746,-0.00094,,
,,,,,,53.2359,0.210813,0.553326,0.02254,,19.0338,,0.800437,24.0332,1.3018,-0.00302,-0.0016,-0.03144,0.001753,0.006101,,
,,,,,,52.8427,0.24568,0.478004,0.025976,,19.147,,0.787022,24.3662,0.878543,0.022001,0.006073,0.008738,0.001774,0.005081,,
,,,,,,44.9179,2.1074,7.53501,0.030881,,11.6197,,0.215071,15.2865,11.2171,1.99368,0.676448,0.282185,0.10962,-0.00033,,
,,,,,,53.2144,0.397853,0.386623,-0.00401,,17.9019,,0.784226,23.1624,3.11783,0.103061,-0.00934,0.001148,-0.00479,-0.00341,,
,,,,,,54.0424,0.152376,0.450085,-0.00395,,14.4491,,0.543698,23.328,5.47471,0.119992,0.011273,-0.01738,-0.00109,-0.00219,,
,,,,,,53.5789,0.35066,1.01767,0.004734,,15.4255,,0.518763,24.4559,3.47343,0.094842,0.160028,-0.02365,0.003298,0.005715,,
,,,,,,44.6718,0.100063,0.517558,-0.01172,,4.05937,,0.216231,13.8567,15.5717,0.429858,-0.00748,0.080487,-0.00159,-0.06491,,
,,,,,,40.0706,3.05933,10.4446,0.071706,,12.3079,,0.211829,13.5183,10.9279,2.23881,0.414113,0.04283,0.06362,0.029842,,
,,,,,,41.0881,2.58241,10.5278,0.063665,,12.5197,,0.256304,13.952,11.2038,2.39303,0.448718,0.047279,0.053652,0.022364,,
,,,,,,41.2835,3.1689,10.1943,0.011394,,11.364,,0.196251,14.3552,10.7374,2.6933,0.392836,0.140972,0.032871,0.000094,,
,,,,,,51.2483,0.393742,2.31277,0.086063,,6.44837,,0.17414,16.4387,20.7438,0.197907,0.001582,-0.00072,-0.00034,0.029427,,
,,,,,,52.0321,0.297387,1.02053,-0.00999,,7.8624,,0.453539,15.3061,21.0705,0.382404,0.010909,-0.01211,0.010088,0.005306,,
,,,,,,53.0839,0.603941,3.71619,-0.0054,,7.37071,,0.340022,13.0989,18.2697,0.604757,0.597458,-0.01056,0.009287,0.002077,,
,,,,,,50.7757,0.385162,2.28714,0.141796,,6.41442,,0.16496,16.5163,21.0377,0.19734,0.004854,0.015321,0.016377,0.009702,,
,,,,,,51.729,0.505487,2.74871,0.010725,,7.14711,,0.208223,16.0787,20.5732,0.209313,0.01848,-0.01377,0.017649,-0.00449,,
,,,,,,42.574,3.18203,10.663,0.043047,,12.1033,,0.176499,13.7823,11.084,2.27408,0.476048,0.04774,0.05365,0.011302,,
,,,,,,44.0521,0.785285,11.2178,0.285477,,10.5444,,0.203251,15.1822,11.4723,2.06483,0.374299,0.091454,0.027271,0.007558,,
,,,,,,42.4688,3.28719,10.9826,0.075924,,11.7646,,0.186754,13.8067,11.1938,2.31895,0.441475,0.057214,0.043837,0.035182,,
,,,,,,43.0725,3.01134,10.0592,0.030641,,11.3251,,0.239128,14.5399,11.083,2.79195,0.413526,0.170295,0.039466,0.002543,,
,,,,,,43.2861,3.01982,9.98999,0.001053,,11.0696,,0.209843,14.7137,10.956,2.75837,0.406704,0.101744,0.038218,-0.00544,,
,,,,,,49.7632,0.630263,4.38412,0.598572,,5.56617,,0.146761,15.2728,22.1721,0.309515,0.009099,0.003444,0.004434,0.018671,,
,,,,,,52.6312,0.345525,1.40553,0.000134,,15.5838,,0.720928,25.1413,1.88985,0.013585,0.0016,-0.02087,0.013693,-0.0076,,
,,,,,,42.8716,3.0757,9.88182,0.010027,,12.3343,,0.287616,13.7439,11.1768,2.31851,0.559431,0.057549,0.063622,-0.00496,,
,,,,,,43.2701,2.74109,9.81442,0.001112,,12.5582,,0.316419,13.7958,11.1074,2.2914,0.512734,0.099083,0.042417,0.022613,,
,,,,,,45.4918,1.10194,8.78134,0.047962,,11.9716,,0.260235,15.1724,11.2014,1.80358,0.416131,0.116661,0.058196,0.01555,,
,,,,,,42.4338,3.12201,10.3341,0.055642,,11.2634,,0.23827,14.4643,11.1198,2.6016,0.406004,0.128252,0.040082,-0.00455,,
,,,,,,51.3446,0.383937,1.93862,0.013875,,7.45061,,0.327915,15.3904,20.7042,0.34824,0.036679,0.027393,0.012847,0.00071,,
,,,,,,52.5505,0.314142,1.55952,-0.00541,,15.7637,,0.695649,25.7547,1.32433,0.017042,0.006078,-0.03129,0.006563,-0.02657,,
,,,,,,52.7869,0.306919,1.62485,0.001039,,15.8482,,0.72049,25.1886,1.35775,0.052041,0.040131,-0.03066,0.006956,-0.00054,,
,,,,,,46.2238,1.51192,7.84107,-0.01172,,11.4224,,0.356375,15.5939,10.9434,1.76402,0.289752,0.086501,0.043287,-0.01417,,
,,,,,,47.1513,1.482,6.85087,0.003231,,11.0139,,0.33586,15.8879,11.0762,1.5809,0.238406,0.104123,0.028038,0.01689,,
,,,,,,47.1806,1.24892,7.09192,0.00097,,11.1627,,0.396964,16.1882,10.9676,1.63668,0.248357,0.087399,0.046527,-0.00032,,
,,,,,,46.1564,1.97236,7.90247,0.017566,,10.9758,,0.262489,15.48,11.2974,1.83122,0.317188,0.070321,0.040133,0.010567,,
,,,,,,46.4493,1.60094,7.50818,-0.00543,,11.4361,,0.389328,15.7966,10.855,1.71587,0.246707,0.090495,0.036403,-0.01083,,
,,,,,,46.0665,1.70163,7.48845,0.001429,,11.525,,0.378205,15.4508,10.9831,1.67714,0.266108,0.075139,0.036215,-0.02669,,
,,,,,,42.4757,1.97151,10.7769,0.025614,,13.3506,,0.296477,13.5633,10.9457,2.18433,0.462212,0.051277,0.0355,-0.00389,,
,,,,,,45.5336,1.52404,8.05049,0.006174,,11.6371,,0.371501,15.2079,11.1288,1.84124,0.302246,0.082339,0.038538,-0.00374,,
