Sample ID,Na,K,Ca,Mn,Al,Fe,Mg,Ti,Si,Cl,F,O
1,0.3263320986854477,0.08453479354224361,1.7186360269868306,0.020861891531438262,1.0145146396839453,1.3155342697829233,3.1494551113509104,0.1745734530832048,5.98390369100596,0.0013534765106401842,0.04694916568825216,-0.024155041308846884
2,0.29738251381891934,0.07467204353590401,1.7013264506902082,0.020505945569672657,0.9703696106894024,1.3282714622673901,3.0472446715571593,0.16974637284084357,6.131696600639122,0.0010352637504381572,0.03217356835973213,-0.016606698577566043
3,0.3055630279693576,0.05116202076221899,1.768071070012766,0.02231482069509934,0.9765926008888547,1.301014265310578,3.1325567929543543,0.15880630454808375,6.078820231502666,0.001507022914006226,0.027073968053593085,-0.014293863440038473
4,0.3114008627234159,0.07233507961292725,1.7146455640016827,0.01526821735062551,0.9752486322494218,1.1683262364789677,3.300922576114773,0.19701299722800888,6.038069119103421,0.0016003736600859466,0.04078643724343288,-0.02119547659703365
5,0.3152000185550976,0.08271984054620189,1.7340247107139983,0.0127536528542611,0.9583008343724847,1.1452782466307314,3.3183357072718205,0.20161896893876194,6.045125341115719,-0.0007144569940285441,0.04732787840391021,-0.02331672120840613
6,0.3003674021602082,0.08143750247064438,1.7505943142608775,0.018525472347574602,1.0111408621034774,1.2909641645460341,3.142819911901331,0.18871781503177634,5.987489071465347,0.0011898349004875197,0.05772780408212997,-0.029462765973966666
7,0.2713537313844463,0.09522815609247126,1.6906322419606785,0.016657318638753523,0.8730378756326896,1.0965413359776346,3.3922946692453,0.16254684591260857,6.236770200230868,0.0006668304078483722,0.0384314484890097,-0.01955345138116316
8,0.28131718216022594,0.10211571909500926,1.7287352313333906,0.01797245299823221,0.9397988857970604,1.1442603109505505,3.3460591904254096,0.16239012926063204,6.109348942330801,1.4102673019149571e-05,0.033319885953200935,-0.016668876163089347
9,0.2890546808690502,0.06957928664710925,1.6547018716912405,0.018530803863362193,0.9382682946014991,1.1303887093897578,3.400826720795966,0.13986844236599963,6.162279744917172,0.002246228248626514,0.03339345400473226,-0.01782301388068734
10,0.28259631278163516,0.11678237365489023,1.7714438960447805,0.022530909453503434,1.0205635821656285,1.4198820092558393,2.9733518303163633,0.16981794512589887,5.995914511944165,0.0004920716622321172,0.04002525825488578,-0.02026032206114494
11,0.2961364455807915,0.061387366511531094,1.7545219195628081,0.021701799644147375,0.9539230375214388,1.3218175742917058,3.15915338041347,0.14615153023525765,6.107281302506955,0.0016986966987037962,0.03159424764958466,-0.016646208401483304
12,0.3117416107791519,0.0480186075869835,1.7101172646197162,0.016204444419874186,0.9820813975933822,1.111851871704241,3.2970606357658414,0.17623621840055642,6.0974990885752325,0.0021537826617857576,0.02043611586619272,-0.011299140135515601
13,0.29706889351191,0.034860135825089476,1.7169721568161964,0.02081013964469267,0.9364938346048509,1.2071096447031917,3.186387986918684,0.1533609409723448,6.203663261269094,0.0036572227118024064,0.022870654159059027,-0.013266742588055823
14,0.3035946995356804,0.05334865677354332,1.7176027649595995,0.016496159671766274,0.9960266731381338,1.2352355170372553,3.1660979573101433,0.16265405265695743,6.090190029219706,0.0012145282040916699,0.026495152571668203,-0.013853619231477569
15,0.30722561546433386,0.0521879880391945,1.7458398481595898,0.02065913289989746,1.0333726765851219,1.3728073696892678,2.9907212706381956,0.15605668838295808,6.042842681155578,0.003590816251945007,0.021686269666070016,-0.012635079640928651
16,0.27967441563707685,0.08655293815289358,1.7336603939633324,0.015169828077946078,0.915483267911385,1.0822739635986838,3.408483634180955,0.15378767037384583,6.157541413164137,0.002302640274592873,0.04785761162265102,-0.0250833963182484
17,0.290777095059917,0.08637099568042717,1.7149678495987388,0.017264207456732135,0.941130521273248,1.1378906614568147,3.397881428257392,0.1535677212877809,6.097701693782851,0.0022846507780291676,0.05555626120369696,-0.02892354345275827
18,0.33088170360529706,0.05370008987635135,1.6733216107244855,0.018929952800512705,0.9677864932054799,1.1535338190678204,3.310648635664467,0.1442098933061677,6.130632407231933,0.0020497791714862166,0.009843428633909706,-0.005953100236972731
19,0.30537473557429984,0.048648001895612546,1.6999008436868315,0.0177292079086922,0.8853251127695819,1.0619726208429756,3.4570989465283275,0.14217459934477217,6.225672593317426,0.0021187064580294296,0.03309130301744691,-0.01760408954535609
20,0.2822537549422494,0.0800228760905921,1.734874456194411,0.01659870918089748,0.9295683394613494,1.1577534918639654,3.3260874537205662,0.16722082768085259,6.125708332992871,0.0009900653399196558,0.054701967221258245,-0.027846114285355855
21,0.28798016206346055,0.08068935250102459,1.7344801759085589,0.01662485324492798,0.9454778022487734,1.1838192285086735,3.2854349033201347,0.17367933286991,6.102939873776339,0.0018764665289380906,0.04071911302093455,-0.021296075135471958
22,0.3074095536111397,0.053672418322021874,1.7533252065331546,0.020873792365103387,0.9988226530550737,1.3319362149127862,3.043683079060301,0.13722181273987896,6.103979751752833,0.004053493054981638,0.016414396190559684,-0.010239242200692934
23,0.28555801015934196,0.09543044041137531,1.6923366515574232,0.01721624513701592,0.9172796154711578,1.1060482794261037,3.422463506754774,0.1510178385433407,6.152759968462012,0.0023163020169550386,0.04079422915901153,-0.021558125046180432
